"","gene_name","glyma","desc"
"2220","LOC100780913","GLYMA_01G048500","beta-1,3-galactosyltransferase GALT1"
"2221","LOC100780913","GLYMA_01G048500","beta-1,3-galactosyltransferase GALT1"
"2222",".",NA,NA
"2223","LOC100780913","GLYMA_01G048500","beta-1,3-galactosyltransferase GALT1"
"2224","LOC100819047","GLYMA_01G048600","uncharacterized LOC100819047"
"2225","LOC100819047","GLYMA_01G048600","uncharacterized LOC100819047"
"2226","LOC100819587","GLYMA_01G048700","E3 ubiquitin-protein ligase MPSR1"
"2227","LOC100783073","GLYMA_01G048800","(R)-mandelonitrile lyase-like"
"2228",".",NA,NA
"2229",".",NA,NA
"2230","LOC112997809","","transposon Tf2-1 polyprotein"
"2231","LOC102665401","","(R)-mandelonitrile lyase-like"
"2232","LOC102665543","GLYMA_01G049000","glutathione S-transferase T3"
"2233","PHR2","AT4G34460, ARABIDOPSIS G-PROTEIN BETA SUBUNIT, ATAGB1, ELK4, ERECTA-LIKE 4, GTP binding protein beta 1, T4L20.40, T4L20_40","GTP binding protein beta 1"
"2234",".",NA,NA
"2235","PHR2","AT4G34460, ARABIDOPSIS G-PROTEIN BETA SUBUNIT, ATAGB1, ELK4, ERECTA-LIKE 4, GTP binding protein beta 1, T4L20.40, T4L20_40","GTP binding protein beta 1"
"2236","PHR2","AT4G34460, ARABIDOPSIS G-PROTEIN BETA SUBUNIT, ATAGB1, ELK4, ERECTA-LIKE 4, GTP binding protein beta 1, T4L20.40, T4L20_40","GTP binding protein beta 1"
"2237","PHR2","AT4G34460, ARABIDOPSIS G-PROTEIN BETA SUBUNIT, ATAGB1, ELK4, ERECTA-LIKE 4, GTP binding protein beta 1, T4L20.40, T4L20_40","GTP binding protein beta 1"
"2238","LOC106799434","GLYMA_01G049300","uncharacterized LOC106799434"
"2239","LOC106799434","GLYMA_01G049300","uncharacterized LOC106799434"
"2240","LOC100775201","GLYMA_01G049400","cyclic dof factor 1"
"2241","LOC102665675","","uncharacterized LOC102665675"
"2242","LOC100788925","GLYMA_01G049500","calcium-binding EF-hand family protein"
"2243","LOC100776292","GLYMA_01G049600","uncharacterized LOC100776292"
"2244","LOC100776826","GLYMA_01G049700","glucan endo-1,3-beta-glucosidase 1"
"2245","LOC100777887","GLYMA_01G049800","uncharacterized LOC100777887"
"2246","LOC100794204","GLYMA_01G049900","transcription termination factor MTEF1, chloroplastic"
"2247","LOC102665922","GLYMA_01G050000","agamous-like MADS-box protein AGL30"
"2248","LOC106799438","","uncharacterized LOC106799438"
"2249","LOC102666054","","protein MAIN-LIKE 1-like"
"2250","LOC102666195","","uncharacterized LOC102666195"
"2251","LOC100796316","GLYMA_01G050100","expansin-A10"
"2252","LOC100796316","GLYMA_01G050100","expansin-A10"
"2253","LOC100796316","GLYMA_01G050100","expansin-A10"
"2254","LOC112997742","GLYMA_01G050350v4","uncharacterized LOC112997742"
"2255","LOC112997742","GLYMA_01G050350v4","uncharacterized LOC112997742"
"2256","LOC100779481","GLYMA_01G050400","uncharacterized LOC100779481"
"2257","LOC100779481","GLYMA_01G050400","uncharacterized LOC100779481"
"2258","LOC100779481","GLYMA_01G050400","uncharacterized LOC100779481"
"2259","LOC100779481","GLYMA_01G050400","uncharacterized LOC100779481"
"2260","LOC102666462","","uncharacterized LOC102666462"
"2261","LOC100780549","","uncharacterized LOC100780549"
"2262","LOC100801094","GLYMA_01G050500","uncharacterized LOC100801094"
"2263","LOC113002181","","uncharacterized LOC113002181"
"2264","LOC100806414","GLYMA_01G050700","CASP-like protein 7"
"2265","LOC100807480","GLYMA_01G050900","photosynthetic NDH subunit of lumenal location 2, chloroplastic"
"2266",".",NA,NA
"2267","LOC100782707","","2-hydroxy-palmitic acid dioxygenase mpo1-like"
"2268","NAC1","HMG-1, HMG1, HMG3, SBP-1","high mobility group box 1"
"2269",".",NA,NA
"2270",".",NA,NA
"2271","NAC1","HMG-1, HMG1, HMG3, SBP-1","high mobility group box 1"
"2272","LOC100784665","GLYMA_01G051400","protein SHORT ROOT IN SALT MEDIUM 1"
"2273","LOC100784665","GLYMA_01G051400","protein SHORT ROOT IN SALT MEDIUM 1"
"2274",".",NA,NA
"2275",".",NA,NA
"2276",".",NA,NA
"2277","LOC100785195","","uncharacterized LOC100785195"
"2278","LOC100785734","GLYMA_01G051600","transcription factor MYB106"
"2279","LOC100787150","GLYMA_01G051700","transcription factor MYB106"
"2280","LOC113002185","","uncharacterized LOC113002185"
"2281","LOC102666276","GLYMA_01G051800","glyceraldehyde-3-phosphate dehydrogenase B, chloroplastic"
"2282","LOC106799447","","uncharacterized LOC106799447"
"2283","LOC102667740","GLYMA_01G052000","L10-interacting MYB domain-containing protein"
"2284","LOC100817240","GLYMA_01G052200","uncharacterized LOC100817240"
"2285","LOC100817240","GLYMA_01G052200","uncharacterized LOC100817240"
"2286","LOC102666756","GLYMA_01G052300","uncharacterized LOC102666756"
"2287","LOC102666756","GLYMA_01G052300","uncharacterized LOC102666756"
"2288","LOC102666756","GLYMA_01G052300","uncharacterized LOC102666756"
"2289","LOC106799448","","uncharacterized LOC106799448"
"2290","LOC100306639","GLYMA_01G052400","uncharacterized LOC100306639"
"2291","LOC100775903","GLYMA_01G052500","rhamnogalacturonan I rhamnosyltransferase 1"
"2292","LOC100775903","GLYMA_01G052500","rhamnogalacturonan I rhamnosyltransferase 1"
"2293",".",NA,NA
"2294","MIR5670A","MIR5670, gma-MIR5670, gma-MIR5670a","microRNA MIR5670a"
"2295","MIR5670A","MIR5670, gma-MIR5670, gma-MIR5670a","microRNA MIR5670a"
"2296","LOC100789273","GLYMA_01G052600","integrin-linked protein kinase 1"
"2297","LOC100789273","GLYMA_01G052600","integrin-linked protein kinase 1"
"2298","LOC100789273","GLYMA_01G052600","integrin-linked protein kinase 1"
"2299","LOC100789273","GLYMA_01G052600","integrin-linked protein kinase 1"
"2300","LOC100789273","GLYMA_01G052600","integrin-linked protein kinase 1"
"2301","LOC100789803","GLYMA_01G052700","uncharacterized LOC100789803"
"2302",".",NA,NA
"2303","LOC100500007","GLYMA_01G052800","uncharacterized LOC100500007"
"2304","LOC100791914","GLYMA_01G0529001","CSC1-like protein At1g69450"
"2305","LOC100796107","GLYMA_01G053100","protein argonaute 7"
"2306","LOC100499907","GLYMA_01G053200","uncharacterized LOC100499907"
"2307","LOC100499907","GLYMA_01G053200","uncharacterized LOC100499907"
"2308",".",NA,NA
"2309","LOC100499907","GLYMA_01G053200","uncharacterized LOC100499907"
"2310",".",NA,NA
"2311","LOC106799450","","uncharacterized LOC106799450"
"2312",".",NA,NA
"2313","LOC100803007","GLYMA_01G053300","probable protein S-acyltransferase 22"
"2314","LOC100794541","GLYMA_01G053600","uncharacterized LOC100794541"
"2315","LOC100794541","GLYMA_01G053600","uncharacterized LOC100794541"
"2316","LOC100794541","GLYMA_01G053600","uncharacterized LOC100794541"
"2317","LOC100794541","GLYMA_01G053600","uncharacterized LOC100794541"
"2318","LOC100794541","GLYMA_01G053600","uncharacterized LOC100794541"
"2319",".",NA,NA
"2320","LOC121174197","","protein PIGMENT DEFECTIVE 338, chloroplastic-like"
"2321","LOC100809941","GLYMA_01G053700","putative exosome complex component rrp40-like"
"2322","LOC100809941","GLYMA_01G053700","putative exosome complex component rrp40-like"
"2323","LOC100809941","GLYMA_01G053700","putative exosome complex component rrp40-like"
"2324","LOC100809941","GLYMA_01G053700","putative exosome complex component rrp40-like"
"2325","LOC100809941","GLYMA_01G053700","putative exosome complex component rrp40-like"
"2326","LOC100809941","GLYMA_01G053700","putative exosome complex component rrp40-like"
"2327","LOC100809941","GLYMA_01G053700","putative exosome complex component rrp40-like"
"2328","LOC100809941","GLYMA_01G053700","putative exosome complex component rrp40-like"
"2329",".",NA,NA
"2330","LOC100809941","GLYMA_01G053700","putative exosome complex component rrp40-like"
"2331","LOC121174897","","uncharacterized LOC121174897"
"2332","WRKY9","AT3G15030, MEE35, TCP family transcription factor 4, maternal effect embryo arrest 35","TCP family transcription factor 4"
"2333","MIR4348D","gma-MIR4348d","microRNA MIR4348d"
"2334","MIR4348D","gma-MIR4348d","microRNA MIR4348d"
"2335","LOC121174898","","uncharacterized LOC121174898"
"2336","LOC121174898","","uncharacterized LOC121174898"
"2337",".",NA,NA
"2338",".",NA,NA
"2339",".",NA,NA
"2340","LOC113001159","GLYMA_01G054000","eukaryotic translation initiation factor 5A"
"2341","LOC100798072","GLYMA_01G054100","mitotic checkpoint protein BUB3.3"
"2342","LOC100798072","GLYMA_01G054100","mitotic checkpoint protein BUB3.3"
"2343","LOC100798072","GLYMA_01G054100","mitotic checkpoint protein BUB3.3"
"2344","LOC100499811","GLYMA_01G054200","MinE domain-containing protein"
"2345",".",NA,NA
"2346",".",NA,NA
"2347",".",NA,NA
"2348","LOC100815826","GLYMA_01G054300","uncharacterized LOC100815826"
"2349","LOC100819569","GLYMA_01G054400","uncharacterized protein At5g01610"
"2350",".",NA,NA
"2351","LOC100780534","GLYMA_01G054500","chorismate mutase 3, chloroplastic"
"2352","LOC100780534","GLYMA_01G054500","chorismate mutase 3, chloroplastic"
"2353","LOC102669096","","uncharacterized LOC102669096"
"2354","LOC100799125","","zinc finger MYM-type protein 1-like"
"2355",".",NA,NA
"2356","LOC100799644","GLYMA_01G054800","uncharacterized LOC100799644"
"2357","LOC100800182","GLYMA_01G054900","putative pentatricopeptide repeat-containing protein At1g69350, mitochondrial"
"2358","LOC100783767","GLYMA_01G054950v4","clp protease adapter protein ClpF, chloroplastic"
"2359","LOC100783767","GLYMA_01G054950v4","clp protease adapter protein ClpF, chloroplastic"
"2360","LOC100783767","GLYMA_01G054950v4","clp protease adapter protein ClpF, chloroplastic"
"2361","LOC100783767","GLYMA_01G054950v4","clp protease adapter protein ClpF, chloroplastic"
"2362","LOC100783767","GLYMA_01G054950v4","clp protease adapter protein ClpF, chloroplastic"
"2363","LOC100783767","GLYMA_01G054950v4","clp protease adapter protein ClpF, chloroplastic"
"2364","LOC100783767","GLYMA_01G054950v4","clp protease adapter protein ClpF, chloroplastic"
"2365","LOC100785900","GLYMA_01G055200","hevamine-A"
"2366","LOC100788014","GLYMA_01G055300","protein GDAP2 homolog"
"2367",".",NA,NA
"2368","LOC100790671","GLYMA_01G055400","uncharacterized LOC100790671"
"2369","LOC100499930","GLYMA_01G055500","ankyrin repeat-containing protein"
"2370",".",NA,NA
"2371","MIR2119","gma-MIR2119","microRNA MIR2119"
"2372","MIR2119","gma-MIR2119","microRNA MIR2119"
"2373","MIR398A","AT2G03445, MIR398A, microRNA398A, p_MI0001017","ncRNA"
"2374","MIR398A","AT2G03445, MIR398A, microRNA398A, p_MI0001017","ncRNA"
"2375","LOC113002190","GLYMA_01G055800","dnaJ homolog subfamily C member 14"
"2376","LOC100796991","GLYMA_01G055900","uncharacterized LOC100796991"
"2377",".",NA,NA
"2378","LOC100802857","GLYMA_01G056000","remorin 1.4"
"2379","LOC100797528","GLYMA_01G056100","protein SRG1"
"2380","LOC100803918","","pentatricopeptide repeat-containing protein At2g20540-like"
"2381","LOC100802317","GLYMA_01G056300","probable leucine-rich repeat receptor-like protein kinase At1g35710-like"
"2382",".",NA,NA
"2383","LOC100804448","GLYMA_01G056500","putative SNAP25 homologous protein SNAP30"
"2384","WRKY32","AT1G78300, 14-3-3 PROTEIN G-BOX FACTOR14 OMEGA, 14-3-3OMEGA, F3F9.16, F3F9_16, GF14 OMEGA, general regulatory factor 2","general regulatory factor 2"
"2385","WRKY32","AT1G78300, 14-3-3 PROTEIN G-BOX FACTOR14 OMEGA, 14-3-3OMEGA, F3F9.16, F3F9_16, GF14 OMEGA, general regulatory factor 2","general regulatory factor 2"
"2386","WRKY32","AT1G78300, 14-3-3 PROTEIN G-BOX FACTOR14 OMEGA, 14-3-3OMEGA, F3F9.16, F3F9_16, GF14 OMEGA, general regulatory factor 2","general regulatory factor 2"
"2387","LOC100805520","GLYMA_01G056900","uncharacterized LOC100805520"
"2388","LOC100806577","","argininosuccinate lyase, chloroplastic-like"
"2389","LOC102669980","","FACT complex subunit SSRP1-like"
"2390","LOC100807647","","4-hydroxy-tetrahydrodipicolinate reductase-like"
"2391","LOC100808699","","uncharacterized protein At2g33490-like"
"2392","LOC106799454","","protein MAIN-LIKE 2-like"
"2393","LOC100820448","GLYMA_01G057100","UDP-glucose 6-dehydrogenase 4-like"
"2394","LOC100809238","GLYMA_01G057200","beta-glucosidase 40"
"2395","LOC102670514","","uncharacterized LOC102670514"
"2396","LOC100780351","GLYMA_01G057400","COBW domain-containing protein 1"
"2397","LOC100781425","GLYMA_01G057500","probable methyltransferase PMT5"
"2398","LOC100781425","GLYMA_01G057500","probable methyltransferase PMT5"
"2399","LOC100810305","GLYMA_01G057600","putative pentatricopeptide repeat-containing protein At1g26500"
"2400","LOC102660841","GLYMA_01G057700","uncharacterized LOC102660841"
"2401","LOC102660841","GLYMA_01G057700","uncharacterized LOC102660841"
"2402","LOC121175277","","uncharacterized LOC121175277"
"2403","LOC100811377","GLYMA_01G057900","probable arabinosyltransferase ARAD1"
"2404","SGF14e","GLYMA_05G032200, GmMYB176","transcription factor MYB176"
"2405",".",NA,NA
"2406","LOC100784647","GLYMA_01G058200","pentatricopeptide repeat-containing protein At1g26460, mitochondrial"
"2407","LOC100784647","GLYMA_01G058200","pentatricopeptide repeat-containing protein At1g26460, mitochondrial"
"2408","LOC100789955","GLYMA_01G058300","PLASMODESMATA CALLOSE-BINDING PROTEIN 4"
"2409","LOC100792060","GLYMA_01G058400","2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase"
"2410","LOC100792060","GLYMA_01G058400","2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase"
"2411","LOC100794172","GLYMA_01G058500","probable ureide permease A3"
"2412","LOC100794172","GLYMA_01G058500","probable ureide permease A3"
"2413","LOC100794172","GLYMA_01G058500","probable ureide permease A3"
"2414","LOC100794172","GLYMA_01G058500","probable ureide permease A3"
"2415","LOC100794172","GLYMA_01G058500","probable ureide permease A3"
"2416","LOC100794172","GLYMA_01G058500","probable ureide permease A3"
"2417","LOC100794172","GLYMA_01G058500","probable ureide permease A3"
"2418","LOC100794172","GLYMA_01G058500","probable ureide permease A3"
"2419","LOC100794172","GLYMA_01G058500","probable ureide permease A3"
"2420",".",NA,NA
"2421",".",NA,NA
"2422","LOC100812458","GLYMA_01G058700","putative pentatricopeptide repeat-containing protein At1g12700, mitochondrial"
"2423","LOC100812458","GLYMA_01G058700","putative pentatricopeptide repeat-containing protein At1g12700, mitochondrial"
"2424","LOC100812993","GLYMA_01G059000","putative pentatricopeptide repeat-containing protein At1g12700, mitochondrial"
"2425","LOC100812993","GLYMA_01G059000","putative pentatricopeptide repeat-containing protein At1g12700, mitochondrial"
"2426","LOC100813534","","60S ribosomal protein L2, mitochondrial-like"
"2427","LOC100814076","","pentatricopeptide repeat-containing protein At5g50280, chloroplastic-like"
"2428",".",NA,NA
"2429",".",NA,NA
"2430","LOC100815127","GLYMA_01G059200, AT1G13770","protein root UVB sensitive 3"
"2431","LOC100815127","GLYMA_01G059200, AT1G13770","protein root UVB sensitive 3"
"2432","LOC100815658","GLYMA_01G059300","transcription factor SRM1"
"2433","LOC102660005","","uncharacterized LOC102660005"
"2434",".",NA,NA
"2435","LOC100816195","","WAT1-related protein At1g43650-like"
"2436","LOC100818322","","uncharacterized LOC100818322"
"2437","LOC112997669","","ATP-dependent DNA helicase PIF1-like"
"2438","LOC112997857","","small nucleolar RNA R71"
"2439","LOC100819931","GLYMA_01G059900","putative pentatricopeptide repeat-containing protein At1g12700, mitochondrial"
"2440","LOC100819931","GLYMA_01G059900","putative pentatricopeptide repeat-containing protein At1g12700, mitochondrial"
"2441","LOC100819931","GLYMA_01G059900","putative pentatricopeptide repeat-containing protein At1g12700, mitochondrial"
"2442","LOC102663219","","uncharacterized LOC102663219"
"2443","LOC113002196","","uncharacterized LOC113002196"
"2444","LOC100776452","GLYMA_01G060300","ninja-family protein AFP3"
"2445","LOC121174550","","secreted RxLR effector protein 161-like"
"2446","LOC100778235","","pentatricopeptide repeat-containing protein At2g22070-like"
"2447","LOC113002197","","uncharacterized LOC113002197"
"2448","LOC102663523","","uncharacterized LOC102663523"
"2449","LOC102663523","","uncharacterized LOC102663523"
"2450","LOC100781441","","germin-like protein subfamily 1 member 7"
"2451","LOC102661953","","hydroxyproline O-arabinosyltransferase 1-like"
"2452","LOC100781995","GLYMA_01G060600","high mobility group B protein 13"
"2453","LOC100782527","GLYMA_01G060700","pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH10"
"2454","LOC100782527","GLYMA_01G060700","pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH10"
"2455","LOC100782527","GLYMA_01G060700","pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH10"
"2456",".",NA,NA
"2457","LOC100782527","GLYMA_01G060700","pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH10"
"2458",".",NA,NA
"2459","LOC100499684","GLYMA_01G060900","uncharacterized LOC100499684"
"2460","LOC100783069","","GDP-fucose transporter 1-like"
"2461","LOC100783602","GLYMA_01G061100","cytochrome P450 78A5"
"2462","LOC100784138","","uncharacterized LOC100784138"
"2463","LOC100784666","GLYMA_01G061500","serine/threonine-protein kinase dst1"
"2464","LOC100784666","GLYMA_01G061500","serine/threonine-protein kinase dst1"
"2465",".",NA,NA
"2466",".",NA,NA
"2467",".",NA,NA
"2468",".",NA,NA
"2469","LOC100800891","","auxilin-like protein 1"
"2470","LOC100804606","GLYMA_01G061800","uncharacterized LOC100804606"
"2471","LOC100785196","","uncharacterized LOC100785196"
"2472","LOC100785735","","pectinesterase 1-like"
"2473","LOC112997923","","small nucleolar RNA R71"
"2474",".",NA,NA
"2475","LOC100809411","GLYMA_01G062000","putative 6-phosphogluconolactonase"
"2476",".",NA,NA
"2477",".",NA,NA
"2478","LOC100809411","GLYMA_01G062000","putative 6-phosphogluconolactonase"
"2479","LOC100786248","GLYMA_01G062100","fructokinase-like 2, chloroplastic"
"2480","LOC100786774","","folate synthesis bifunctional protein, mitochondrial-like"
"2481",".",NA,NA
"2482",".",NA,NA
"2483","LOC100787326","GLYMA_01G062300","peptidyl-prolyl cis-trans isomerase E"
"2484","LOC106799474","","uncharacterized LOC106799474"
"2485",".",NA,NA
"2486","LOC100819571","GLYMA_01G062400","putative copper amine oxidase"
"2487","LOC121174564","","zinc finger BED domain-containing protein RICESLEEPER 2-like"
"2488","LOC102663132","GLYMA_01G062500","glutathione S-transferase T2"
"2489","LOC113002200","","cytochrome P450 85A-like"
"2490","LOC112997858","","small nucleolar RNA R71"
"2491","LOC100792614","GLYMA_01G062900","LRR receptor-like serine/threonine-protein kinase RGI1"
"2492","LOC112997877","","small nucleolar RNA R71"
"2493","LOC100789615","","multifunctional methyltransferase subunit TRM112 homolog B-like"
"2494","LOC100788017","GLYMA_01G063000","probable UDP-arabinopyranose mutase 1"
"2495","TRNAD-GUC","","transfer RNA aspartic acid (anticodon GUC)"
"2496","SABATH1","GLYMA_01G063100","salicylic acid methyl transferase-like protein"
"2497","LOC100794198","","plasma membrane ATPase 1-like"
"2498","LOC106794259","","WEB family protein At5g55860-like"
"2499","LOC100794725","","root phototropism protein 2-like"
"2500","LOC100795791","GLYMA_01G063500, GmYABBY2","protein YABBY 2"
"2501","LOC100796310","GLYMA_01G063600","transcriptional elongation regulator MINIYO"
"2502","LOC100796310","GLYMA_01G063600","transcriptional elongation regulator MINIYO"
"2503","LOC100796310","GLYMA_01G063600","transcriptional elongation regulator MINIYO"
"2504",".",NA,NA
"2505",".",NA,NA
"2506","LOC100797372","GLYMA_01G063700","squamosa promoter-binding-like protein 6"
"2507","LOC100797372","GLYMA_01G063700","squamosa promoter-binding-like protein 6"
"2508","LOC100797372","GLYMA_01G063700","squamosa promoter-binding-like protein 6"
"2509","LOC100797372","GLYMA_01G063700","squamosa promoter-binding-like protein 6"
"2510","LOC100797372","GLYMA_01G063700","squamosa promoter-binding-like protein 6"
"2511","LOC100797372","GLYMA_01G063700","squamosa promoter-binding-like protein 6"
"2512","LOC100797372","GLYMA_01G063700","squamosa promoter-binding-like protein 6"
"2513","LOC100798436","","F-box/kelch-repeat protein At5g60570-like"
"2514","LOC112997842","","small nucleolar RNA R71"
"2515","LOC100798968","GLYMA_01G063800","protein BIG GRAIN 1-like E"
"2516","LOC102666800","","uncharacterized LOC102666800"
"2517","LOC106794560","","uncharacterized LOC106794560"
"2518","LOC106799475","","uncharacterized mitochondrial protein AtMg00860-like"
"2519","LOC102664439","","FACT complex subunit SSRP1-like"
"2520","LOC100813520","GLYMA_01G064100","agamous-like MADS-box protein MADS2"
"2521","LOC100813520","GLYMA_01G064100","agamous-like MADS-box protein MADS2"
"2522","LOC102664705","","uncharacterized LOC102664705"
"2523","LOC102664822","","uncharacterized LOC102664822"
"2524","LOC102665216","","uncharacterized LOC102665216"
"2525","LOC100819745","GLYMA_01G064200","truncated transcription factor CAULIFLOWER A"
"2526","LOC112998043","","small nucleolar RNA R71"
"2527","LOC102665358","","receptor-like protein kinase FERONIA"
"2528","LOC100806412","","probable protein S-acyltransferase 7"
"2529","LOC106799479","","uncharacterized mitochondrial protein AtMg00860-like"
"2530","LOC100807478","GLYMA_01G064400","DNA ligase 1"
"2531","LOC100807478","GLYMA_01G064400","DNA ligase 1"
"2532","MIR10406A","gma-MIR10406a","microRNA MIR10406a"
"2533","MIR10406A","gma-MIR10406a","microRNA MIR10406a"
"2534",".",NA,NA
"2535","LOC100787134","GLYMA_01G064600","ACT domain-containing protein ACR4"
"2536","LOC112997839","","small nucleolar RNA R71"
"2537","LOC100809624","","uncharacterized LOC100809624"
"2538","LOC102666425","","uncharacterized LOC102666425"
"2539","LOC100796112","GLYMA_01G064900","uncharacterized LOC100796112"
"2540","LOC100796112","GLYMA_01G064900","uncharacterized LOC100796112"
"2541","LOC100796112","GLYMA_01G064900","uncharacterized LOC100796112"
"2542","LOC100796112","GLYMA_01G064900","uncharacterized LOC100796112"
"2543","LOC100796112","GLYMA_01G064900","uncharacterized LOC100796112"
"2544","LOC100796112","GLYMA_01G064900","uncharacterized LOC100796112"
"2545","LOC100796112","GLYMA_01G064900","uncharacterized LOC100796112"
"2546","LOC100796112","GLYMA_01G064900","uncharacterized LOC100796112"
"2547","LOC102666561","","protein MAIN-LIKE 1-like"
"2548","LOC100799293","GLYMA_01G065000","uncharacterized LOC100799293"
"2549","LOC100800894","GLYMA_01G065100","BSD domain-containing protein"
"2550","LOC100811751","GLYMA_01G065400","lysosomal Pro-X carboxypeptidase"
"2551","LOC100811751","GLYMA_01G065400","lysosomal Pro-X carboxypeptidase"
"2552","LOC100812290","","protease 2-like"
"2553","LOC100812831","GLYMA_01G065800","disease resistance protein RGA2"
"2554","LOC100812831","GLYMA_01G065800","disease resistance protein RGA2"
"2555","LOC100812831","GLYMA_01G065800","disease resistance protein RGA2"
"2556","LOC100812831","GLYMA_01G065800","disease resistance protein RGA2"
"2557","LOC100813174","GLYMA_01G066000","pectinesterase PPME1"
"2558","MIR2107","gma-MIR2107","microRNA MIR2107"
"2559","MIR2107","gma-MIR2107","microRNA MIR2107"
"2560","LOC100816036","GLYMA_01G066100","pectinesterase PPME1"
"2561","LOC100306177","GLYMA_01G066300","putative pectinesterase"
"2562","LOC112997884","","small nucleolar RNA R71"
"2563","LOC100818153","GLYMA_01G066500","rhamnogalacturonan I rhamnosyltransferase 1"
"2564","LOC100795416","GLYMA_01G066600","transcription factor BIM2-like"
"2565","LOC100795416","GLYMA_01G066600","transcription factor BIM2-like"
"2566","LOC100795416","GLYMA_01G066600","transcription factor BIM2-like"
"2567","LOC121174578","","pentatricopeptide repeat-containing protein At2g01360"
"2568","LOC112997822","","small nucleolar RNA R71"
"2569","LOC100776294","","protein BPS1, chloroplastic-like"
"2570","LOC102667320","","uncharacterized LOC102667320"
"2571","LOC100776828","","probable phosphatidylinositol 4-kinase type 2-beta At1g26270-like"
"2572","LOC102667573","","uncharacterized LOC102667573"
"2573","LOC112998050","","small nucleolar RNA R71"
"2574","LOC100779484","","casein kinase 1-like protein HD16"
"2575","LOC100780552","GLYMA_01G067100","UDP-glycosyltransferase 89A2"
"2576","LOC100781640","","adenosylhomocysteinase 1-like"
"2577","LOC100797896","GLYMA_01G067200","GDSL esterase/lipase At2g03980"
"2578","LOC102670507","","uncharacterized LOC102670507"
"2579",".",NA,NA
"2580",".",NA,NA
"2581","LOC102659406","","uncharacterized LOC102659406"
"2582","LOC100800533","GLYMA_01G067600","sugar transport protein 12"
"2583","LOC100785374","GLYMA_01G067800","transcription factor MYB53"
"2584","LOC100780721","GLYMA_01G067900","rae1-like protein At1g80670-like"
"2585","LOC100785017","GLYMA_01G068000","heat shock protein 90-5, chloroplastic"
"2586","LOC121173413","","uncharacterized LOC121173413"
"2587","LOC100786427","GLYMA_01G068100","pectinesterase PPME1"
"2588","LOC100786964","GLYMA_01G068200","protein SRG1"
"2589","LOC102668738","","protein MAIN-LIKE 1-like"
"2590","LOC106799490","","uncharacterized LOC106799490"
"2591",".",NA,NA
"2592","LOC100797720","GLYMA_01G068600","transcription factor bHLH49"
"2593","LOC100797720","GLYMA_01G068600","transcription factor bHLH49"
"2594","LOC100797720","GLYMA_01G068600","transcription factor bHLH49"
"2595","LOC100797720","GLYMA_01G068600","transcription factor bHLH49"
"2596","LOC100797720","GLYMA_01G068600","transcription factor bHLH49"
"2597","LOC100797720","GLYMA_01G068600","transcription factor bHLH49"
"2598","LOC100788571","GLYMA_01G068800","WPP domain-interacting tail-anchored protein 2"
"2599","LOC100788571","GLYMA_01G068800","WPP domain-interacting tail-anchored protein 2"
"2600","LOC100788571","GLYMA_01G068800","WPP domain-interacting tail-anchored protein 2"
"2601","LOC100788571","GLYMA_01G068800","WPP domain-interacting tail-anchored protein 2"
"2602","LOC100788571","GLYMA_01G068800","WPP domain-interacting tail-anchored protein 2"
"2603","LOC112997900","","small nucleolar RNA R160"
"2604","LOC112997898","","small nucleolar RNA R160"
"2605","LOC112997907","","small nucleolar RNA snoR69Y"
"2606",".",NA,NA
"2607",".",NA,NA
"2608",".",NA,NA
"2609","LOC121172803","GLYMA_01G069000v4","uncharacterized LOC121172803"
"2610",".",NA,NA
"2611","LOC121174586","","secreted RxLR effector protein 161-like"
"2612","LOC113002205","","LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.1"
"2613","LOC102669275","","uncharacterized LOC102669275"
"2614","BZIP35","GLYMA_01G069300","bZIP transcription factor bZIP35"
"2615","LOC102661372","GLYMA_01G069400","phytosulfokines 1"
"2616","LOC100796464","GLYMA_01G069500","ruBisCO large subunit-binding protein subunit beta, chloroplastic"
"2617","LOC100796464","GLYMA_01G069500","ruBisCO large subunit-binding protein subunit beta, chloroplastic"
"2618","LOC100796464","GLYMA_01G069500","ruBisCO large subunit-binding protein subunit beta, chloroplastic"
"2619","LOC100796464","GLYMA_01G069500","ruBisCO large subunit-binding protein subunit beta, chloroplastic"
"2620",".",NA,NA
"2621",".",NA,NA
"2622",".",NA,NA
"2623","LOC100801789","","uncharacterized LOC100801789"
"2624","LOC102661947","GLYMA_01G069650v4","uncharacterized LOC102661947"
"2625","LOC102662065","","uncharacterized LOC102662065"
"2626","LOC113002206","","uncharacterized LOC113002206"
"2627","LOC100793855","","heparanase-like protein 3"
"2628","LOC102662397","","actin-related protein 4-like"
"2629","LOC102662397","","actin-related protein 4-like"
"2630","LOC121174591","","uncharacterized LOC121174591"
"2631","LOC100782698","GLYMA_01G070150v4","uncharacterized LOC100782698"
"2632","LOC100783236","GLYMA_01G070200","peroxidase 11"
"2633","LOC100797542","GLYMA_01G070300","inorganic pyrophosphatase TTM2"
